"FLG_RELATO_TORTURA","SIG_UF_ORIGEM_AUDIENCIA","ANO","MES","NUM_AUDIENCIAS"
N,PI,2018,1,169
N,,1981,4,2
N,,1976,7,1
N,MG,2018,1,214
S,PR,2018,1,54
S,GO,2018,1,46
N,SP,1978,1,1
N,SP,1989,4,4
N,SP,1986,5,1
N,PB,2012,3,2
N,,2004,7,3
N,,1941,5,1
N,,1980,1,2
N,PE,2018,2,129
S,PR,2018,2,34
N,,2009,8,9
N,PI,1990,7,1
N,SE,2018,6,231
N,SP,1986,6,1
N,,2008,1,7
N,PR,1993,5,1
N,MG,2018,3,288
N,MT,2018,3,187
N,RS,2018,3,164
S,MG,2018,3,17
N,,1991,4,2
S,PI,2018,3,17
N,MT,2014,8,2
N,SP,1994,1,3
S,PB,2018,3,6
N,,2019,6,4124
N,SP,2009,1,3
N,PR,1981,3,1
N,PA,2014,3,3
N,PR,2018,4,1350
N,MA,2018,4,130
N,MT,2014,12,1
N,SP,1992,8,1
S,PB,2018,4,6
N,GO,1993,7,1
N,MT,2011,5,2
N,MA,2014,4,1
N,PR,2019,1,1044
N,MT,2015,9,1
N,PR,2001,4,1
N,PI,2018,10,183
N,,1978,11,3
N,SP,2013,4,3
S,,2018,5,166
S,MA,2018,5,15
S,MG,2018,5,11
N,PB,2006,11,2
N,SP,1972,7,3
N,RO,1997,1,1
N,SC,1994,7,1
N,SP,1990,3,3
N,,2003,6,4
S,PB,2018,6,9
N,SP,1981,4,1
N,PA,2018,7,731
N,SP,1993,2,2
N,RS,2018,7,149
N,PB,2018,7,282
N,MT,2018,7,156
S,MG,2018,7,5
N,,1977,9,1
N,,2003,4,3
N,CE,2001,8,1
N,CE,2013,7,2
N,PR,2008,8,1
N,PR,1990,11,1
N,PE,1988,3,1
N,SP,2022,12,3658
N,,1966,9,2
N,CE,2018,8,615
N,PB,1996,12,1
N,MT,2018,8,186
N,SE,2018,8,139
N,SP,1985,11,1
N,PR,2019,9,890
N,SC,2015,8,4
N,PB,2004,10,1
N,PB,2018,9,335
N,SC,2018,9,260
S,PA,2018,9,48
N,SP,1982,12,2
N,GO,2018,11,534
N,SP,1986,3,3
N,MT,1981,8,1
N,GO,2011,3,2
S,AL,2018,9,3
S,PE,2018,9,1
N,AC,2019,1,105
N,SP,1999,12,3
N,MT,2018,10,364
S,SP,2018,10,117
N,DF,2018,10,42
S,GO,2018,10,48
N,PE,2018,10,211
N,RJ,2018,10,2
N,,1971,7,1
N,RS,2011,6,3
N,GO,2015,3,1
N,,1982,12,2
N,CE,2014,8,2
N,PA,2010,10,1
N,BA,2014,12,1
N,AP,2018,11,68
N,MA,2014,7,1
N,GO,2013,11,3
N,RS,2014,4,3
N,MT,2014,11,1
N,PE,2015,11,1
N,AP,1994,2,1
N,RO,1979,9,1
N,PR,2005,10,1
N,RS,2019,10,1083
N,SE,2018,12,179
N,BA,2018,12,243
N,GO,2018,12,373
S,BA,2018,12,33
S,PR,2018,12,26
N,PR,1988,6,1
N,RS,2004,7,2
N,,1987,8,2
N,GO,2014,5,2
N,PA,1996,8,1
N,AP,2019,1,109
N,PI,2019,1,219
S,BA,2019,1,55
S,AC,2019,1,13
S,MT,2019,1,18
N,DF,2013,5,1
N,MG,1994,4,1
S,MG,2019,2,25
N,TO,2019,2,28
N,MT,2019,2,445
S,PA,2019,2,60
N,DF,2019,2,25
N,SP,1975,12,1
N,RS,2000,4,1
N,PR,1996,10,1
N,MT,2012,4,1
N,RS,2013,1,7
N,,1984,10,3
N,SP,2012,2,1
N,CE,2019,12,594
N,AC,2019,3,50
S,BA,2019,3,53
N,TO,2019,3,48
N,,1991,3,3
N,SP,1977,11,1
N,MT,2011,8,1
S,PI,2019,3,13
N,SC,1971,9,1
N,CE,1991,11,1
N,CE,1989,12,1
N,GO,2007,8,2
N,PI,2019,4,327
N,PR,2019,4,868
N,AP,2019,4,98
S,TO,2019,2,1
S,,2019,4,174
N,AC,2019,4,49
S,MG,2019,4,24
N,RS,2012,11,4
N,CE,2016,4,3
S,PB,2019,4,2
N,SP,1999,6,1
S,AP,2019,4,3
N,CE,1979,9,1
N,AL,2015,5,1
N,CE,1995,4,2
N,CE,1977,10,1
N,GO,2007,9,1
S,PR,2019,5,24
N,BA,2019,5,332
N,AC,2019,5,61
S,CE,2019,5,122
S,RO,2019,5,9
N,RS,1984,8,1
S,PB,2019,5,7
N,SC,1999,4,1
N,GO,1995,6,2
N,SP,2000,9,2
N,PR,2019,6,841
N,,2010,1,9
N,SE,1993,7,1
N,,2007,10,1
N,GO,2019,6,427
S,PA,2019,6,57
N,SP,1975,10,1
S,PA,1990,11,1
N,PI,2010,6,1
N,RS,2007,7,2
N,CE,2012,7,3
N,AP,1997,5,1
N,SC,1964,3,1
S,PA,2019,7,60
N,MG,2015,10,2
N,,1978,7,2
S,AL,2019,7,11
N,TO,2019,7,18
N,,2001,4,2
N,RS,2009,2,1
N,GO,1990,7,1
N,RS,2009,12,1
N,RS,2006,6,1
N,PA,1969,4,1
N,CE,1996,7,2
N,,2005,2,3
N,CE,1997,11,1
N,MT,2019,8,202
S,RS,2019,8,58
N,TO,2019,8,18
N,AM,,,277
N,PI,2009,2,1
N,SP,1983,9,1
S,AL,2019,8,10
N,GO,2014,12,2
S,SP,2019,9,193
N,SE,2019,9,63
N,SP,2001,4,4
S,CE,2019,9,125
S,RJ,2019,8,2
S,AP,2019,9,6
N,CE,1995,12,1
I,,,,27
I,SP,2019,8,56
I,SP,,,18
I,RO,2019,9,1
S,AM,2014,9,1
N,SP,1971,8,1
N,PR,1994,2,1
I,SP,2019,7,1
N,GO,2012,9,1
I,RS,2013,10,1
N,DF,2019,10,17
S,PE,2019,10,12
N,BA,2019,10,251
S,PR,2019,10,68
N,PI,2019,11,301
S,AC,2019,10,5
S,,1996,1,1
S,MG,1999,3,1
N,,1977,8,2
N,PR,1969,1,1
S,SP,2001,10,1
S,,1994,12,1
N,CE,2011,2,1
S,TO,2019,4,5
N,,1989,10,2
N,SE,2019,11,75
N,SP,1993,12,1
N,PB,2019,11,176
N,RO,2019,11,285
N,MT,2019,11,163
N,AM,2019,11,154
S,AC,2019,11,1
N,GO,2019,12,446
N,RO,2020,1,301
N,PE,2019,12,85
S,SP,2019,12,275
S,SP,2020,1,220
S,RJ,2019,12,83
S,MT,2019,12,19
N,,1983,10,2
S,SC,2019,12,31
N,MA,2009,12,2
N,DF,2019,12,4
N,CE,1998,12,1
S,PE,2019,12,5
N,CE,2013,4,1
S,CE,1995,9,1
S,PR,2020,1,54
N,BA,2013,4,1
N,,2021,11,10492
S,PB,2020,1,12
N,GO,2002,8,1
N,CE,1979,2,1
N,AC,2020,1,23
N,PI,2012,10,1
N,PI,2020,2,68
S,MT,2020,2,15
N,BA,2020,2,109
N,AM,2020,2,55
S,GO,2020,2,31
N,DF,2020,1,8
S,SE,2020,2,6
N,SP,2000,8,1
S,MS,2020,2,2
S,PI,2020,2,9
N,MT,2012,2,2
N,MS,2001,11,1
N,PA,2001,12,1
N,MG,1981,11,1
N,,1980,2,1
N,RS,2005,9,1
S,,1993,2,1
N,CE,1992,3,1
N,SP,1974,8,1
N,,1991,10,1
N,,1969,8,1
N,,1959,6,1
N,PB,2006,10,1
S,AC,2020,2,1
N,,2020,6,458
N,,2020,12,1866
N,,2020,10,1099
N,,2005,11,2
N,,1995,8,3
S,,2002,5,1
N,GO,2021,2,1
N,,1966,2,1
S,RS,2021,9,1
S,,2022,3,1204
S,,2013,9,1
N,RO,2021,10,1
N,,2003,5,3
N,MG,2022,9,1195
N,,2006,5,1
S,,2005,6,1
N,SP,2022,5,124
N,RJ,2022,6,2
S,,2007,4,1
N,,1983,12,1
N,PE,2022,8,111
S,GO,2022,9,83
N,MA,2022,10,298
N,MG,2022,8,115
N,PA,2022,10,413
S,CE,2022,9,84
S,PR,2022,9,33
N,AP,2022,9,49
S,MA,2022,8,16
N,RN,2022,8,2
N,MS,2022,5,13
N,CE,2022,2,6
N,SP,2020,4,9
N,RS,2022,6,17
N,SE,2022,5,11
N,MG,2008,11,1
S,RJ,2022,10,6
N,DF,2022,9,15
N,PR,2020,8,2
N,SC,2022,1,26
N,SP,2021,12,14
S,PR,2003,10,2
N,AP,2011,6,1
S,MS,2022,2,3
N,SP,2011,1,1
N,SP,2021,7,10
N,PA,2022,8,34
S,MS,2022,10,28
N,AC,2022,1,2
S,PB,2022,10,6
N,SC,2021,4,2
N,SP,2020,11,11
N,PE,2021,9,2
N,PI,2022,6,3
N,AL,2021,3,1
N,TO,2022,7,5
S,RS,2021,11,3
N,SP,2015,8,3
N,MG,2011,11,2
S,MG,2022,8,22
N,SC,2021,9,14
N,CE,1998,2,1
N,DF,2022,2,1
S,SP,2012,10,1
N,PI,2012,6,1
S,AC,2022,2,3
N,MG,1998,2,1
N,MG,2004,9,1
N,PA,2020,8,1
N,SP,1969,3,2
N,MG,2013,4,1
S,DF,2022,10,2
N,RO,2020,7,1
N,SC,2015,2,3
N,RO,2022,7,1
N,MG,2006,11,1
N,SC,2006,11,1
N,SP,2015,11,8
N,SP,2004,6,1
N,SC,2010,6,1
S,TO,2022,7,1
N,MG,2012,9,1
N,MG,2014,1,2
N,RJ,2022,7,1
N,SP,2012,7,1
N,MG,2015,12,3
N,PE,2021,3,1
N,SE,2020,3,3
N,MA,2021,11,1
N,SP,2021,2,10
N,SC,2011,1,1
N,RO,2022,11,97
S,MG,2022,11,138
N,ES,2022,11,43
N,MA,2022,12,189
S,AL,2022,12,20
N,MS,2022,12,160
N,PB,2020,6,1
N,RO,2021,11,1
N,AP,2022,12,40
S,PB,2020,7,1
N,MS,1997,1,1
N,RS,2008,2,1
N,RN,2022,7,1
N,PI,2022,4,1
N,,1969,11,1
N,MG,2008,10,1
N,PE,2012,11,1
N,MG,2013,2,1
N,SC,2013,12,1
N,MG,2002,12,2
N,MA,2002,5,1
N,PA,2004,2,1
N,AM,2021,7,1
N,MG,2015,8,4
N,MS,2019,2,1
N,MA,2004,3,1
N,PI,2013,12,1
N,MG,2014,9,1
N,PI,2022,1,1
N,RS,1989,7,1
N,ES,1999,1,1
N,AM,2018,10,1
S,PA,2022,6,1
N,CE,2001,12,1
N,RS,2005,2,1
N,CE,2010,6,1
N,PE,2002,11,2
S,PR,2007,10,1
N,MG,2023,2,1278
N,MA,2023,2,322
N,PI,2023,1,325
S,MS,2023,2,42
N,PE,2023,2,393
S,MG,2023,2,182
N,SE,2021,6,1
N,MG,2011,4,1
S,PI,2023,2,36
S,RJ,2023,2,6
S,AP,2023,1,6
N,ES,2022,1,2
N,TO,2007,4,1
N,PR,2020,6,1
S,MG,2010,12,1
N,CE,2020,6,1
N,SC,2013,6,1
S,RS,2021,2,2
N,CE,1983,7,1
N,SP,1995,5,1
S,RN,2023,2,9
N,SC,2004,1,1
N,MG,1989,4,1
N,SP,2000,12,1
S,PE,2022,7,2
S,GO,2022,1,1
N,SP,2003,6,1
N,AM,1994,9,1
N,PR,1983,3,1
N,RN,1995,1,1
N,SP,2011,4,1
N,PE,2023,3,190
N,RS,2023,3,475
S,PA,2023,3,23
S,SC,2023,3,30
S,PI,2023,3,25
N,SE,2023,3,113
S,SE,2023,3,15
N,RO,2023,3,33
S,TO,2023,3,2
S,RS,2023,3,75
S,BA,2022,2,1
N,SE,2013,9,1
N,SC,2010,3,1
N,PB,2003,2,1
S,MG,2010,3,1
S,SP,1990,9,1
N,SP,2003,9,1
N,RS,1989,10,1
N,MA,2016,3,167
N,,,,136463
S,PR,2015,9,1
N,PR,1989,11,2
N,,2016,1,186
N,PI,2016,4,75
N,AP,,,553
N,MA,2015,11,90
N,TO,2016,1,9
S,PR,2016,2,15
S,RS,,,3007
S,,2016,2,2
N,PR,2016,7,1401
S,RO,2017,4,21
N,PA,2017,4,565
N,,2015,7,56
N,RO,2016,1,14
N,MA,2013,1,2
N,,2015,8,55
N,RO,2008,12,2
N,PA,2016,6,489
N,,2013,7,28
N,PR,2013,6,6
N,,1996,12,9
N,MA,1987,6,1
N,MA,1996,5,1
N,RO,2010,12,3
N,PA,2016,2,15
S,PI,2016,5,32
S,PI,2016,2,1
S,RO,2016,5,23
N,PE,2018,4,245
N,PR,1977,5,1
N,PR,2015,4,7
N,,2017,8,3801
N,SP,2017,11,6359
N,PR,2014,4,6
N,,2006,12,6
N,PA,2015,4,1
N,PA,2015,8,3
N,PB,2015,5,4
N,PR,2014,3,8
N,PB,2013,8,5
N,PA,2015,5,1
N,AL,2018,8,90
N,,2013,2,23
N,SP,2017,8,3840
N,GO,2017,8,580
S,AP,2015,5,1
N,SP,1985,7,1
N,PR,2010,5,2
N,,2010,8,14
N,PB,2016,7,153
N,,2005,6,5
S,PE,2016,6,2
S,AP,2016,6,3
N,PR,2012,3,6
N,BA,1995,1,1
N,DF,1988,8,1
N,SP,2018,9,4669
N,AP,2016,1,3
N,,1984,2,3
N,RS,2015,6,1
N,SP,2016,7,488
N,GO,2016,7,418
S,GO,,,458
S,,2016,7,78
N,PR,1990,12,2
N,RO,2013,3,5
N,DF,1996,6,1
N,PB,1997,2,1
N,RO,2015,6,7
N,,1988,2,4
S,PB,2016,7,4
N,RO,2007,6,2
N,PI,2016,8,82
S,RO,2016,8,22
N,RS,2016,8,97
S,PA,2016,8,70
N,RO,2015,12,11
N,,1986,9,3
S,,2021,7,565
N,,2010,2,14
N,,1996,11,4
S,MA,2016,8,4
N,PB,2011,8,4
N,MA,2016,9,99
N,PE,2016,9,163
N,RO,2011,5,3
N,PR,1990,9,1
S,PR,2016,9,35
S,BA,2016,9,27
N,MG,2016,9,8
S,GO,2016,9,71
N,PB,2013,7,2
N,,1996,7,6
N,,2016,10,2739
S,PE,2016,9,1
N,SP,1997,4,2
N,PB,2015,1,1
N,,1999,8,6
N,MT,2016,6,1
N,PR,1996,4,2
N,BA,2016,10,193
N,RS,2016,10,200
S,RO,2016,10,27
S,AC,2016,10,6
S,GO,2016,10,94
S,PA,2016,10,75
N,SP,1998,8,3
N,RS,2010,3,1
N,AC,2016,11,110
S,SP,2016,11,64
S,BA,2016,11,75
N,,1998,7,6
N,MG,2016,11,21
S,AP,2016,10,1
N,MT,2016,11,76
N,RO,2006,5,1
N,RN,2016,10,1
N,RO,2011,3,5
S,MA,2016,11,5
N,,1995,2,7
N,RO,2007,9,1
N,PA,2016,12,497
N,,2014,6,26
N,SC,2016,12,229
N,RS,2010,11,2
S,PE,2016,12,3
N,SE,2017,3,157
N,GO,1979,11,1
N,RO,2008,10,2
N,SP,2019,5,5085
S,,2002,2,2
S,MT,2016,12,2
N,PR,2014,11,4
N,DF,2022,1,2
N,PB,2016,1,11
S,DF,2016,12,1
N,SC,2016,1,4
N,DF,2017,7,63
N,,2010,9,11
N,,1984,1,4
S,PR,2013,9,1
N,BA,2017,9,312
N,CE,2017,9,452
S,MA,2017,1,3
N,PB,2012,7,2
N,PR,2018,7,1224
S,BA,2017,2,93
N,BA,2017,2,269
S,SC,2017,2,29
N,MA,1992,1,1
N,SP,1963,6,1
N,SP,2007,2,1
S,RS,2017,2,13
S,AC,2017,2,8
S,BA,2016,2,1
N,PI,271,2,1
N,PR,1988,11,1
N,RO,2018,4,110
N,PR,2011,9,5
N,,2011,4,13
N,,2009,11,6
N,,2001,2,7
S,PB,2017,3,11
N,,1997,5,6
N,,1997,7,4
N,PR,2012,10,3
N,SP,1991,9,4
N,PB,1990,9,1
S,,2017,4,91
N,SE,2017,4,176
N,,1993,12,3
N,MA,2017,4,212
N,SP,1994,4,2
N,SP,1996,2,4
N,,2009,2,6
N,TO,2017,4,40
N,PR,2020,1,643
N,PB,2015,12,3
N,RS,2006,3,2
N,DF,2014,10,1
N,,2008,7,3
N,MT,2017,5,302
N,AC,2017,5,138
N,PE,2017,5,177
N,,1985,10,3
N,SP,1980,2,1
N,,2000,9,4
N,PR,2019,12,617
S,PI,2014,5,1
N,SP,1997,6,3
S,AC,2017,5,5
N,SC,2017,6,201
N,PB,2017,6,206
S,RO,2017,6,10
N,AC,2017,6,122
S,RS,2017,6,14
N,CE,2017,1,11
N,SP,2014,6,5
N,RO,2011,2,1
N,,1988,6,4
S,CE,,,256
N,SP,1987,2,1
N,,2019,9,4559
N,CE,2017,3,14
N,,1989,9,3
N,SE,2017,7,122
N,CE,2011,9,2
N,,2022,4,13515
N,BA,1998,4,1
N,CE,2012,8,2
N,,1971,5,1
S,CE,2017,8,37
N,PR,1999,2,1
N,MG,2017,8,72
N,AC,2017,8,88
S,MA,2017,8,10
S,SC,2015,4,1
N,CE,2015,10,5
S,SE,2017,8,2
N,SP,2013,7,3
N,PR,2009,3,1
S,PA,2017,9,77
N,RS,2017,9,132
N,MG,2017,9,34
S,PR,2017,9,42
S,DF,2017,9,1
N,,1993,9,4
N,PB,2012,1,3
N,SP,2014,9,4
S,AP,2017,9,2
N,PR,2011,11,1
S,,2017,10,137
N,,2011,3,14
S,TO,2017,9,4
N,BA,2017,10,324
N,SP,1995,1,3
S,MA,2017,10,26
N,PR,2012,2,5
N,SP,1994,9,2
N,,2004,12,6
N,CE,2016,9,4
N,,1995,5,8
N,PR,1995,2,2
N,,1988,12,1
S,PE,2017,10,2
N,CE,2001,2,1
N,BA,2017,11,399
N,PB,2018,11,296
N,SP,1966,3,1
S,BA,2017,11,72
N,SP,1994,5,2
N,GO,2018,3,804
N,MT,2015,5,2
S,MG,2017,11,13
N,MT,2017,11,127
N,RO,1997,9,1
S,AC,2017,11,8
S,SP,2018,9,160
N,BA,2018,5,226
N,AC,1999,4,1
N,SP,2012,12,21
N,CE,2007,8,2
N,MT,2017,12,103
N,SC,2017,12,198
N,RO,2017,12,164
S,SC,2017,12,11
S,PB,2017,12,5
N,,1963,2,1
S,MT,2017,12,9
N,,1976,9,2
N,SP,1987,3,2
N,PA,2018,1,587
N,SE,2018,1,229
N,GO,2018,1,764
S,PE,2018,1,13
S,CE,2018,1,64
S,BA,2018,1,69
N,,1986,5,2
S,RS,2018,1,13
N,SE,2015,1,6
N,SP,2008,1,1
N,SP,2019,7,4607
N,SP,1960,6,2
N,SP,2013,1,6
N,PR,2006,4,1
N,MA,2018,2,135
N,SP,2018,4,4461
N,TO,2018,2,22
N,SP,1958,9,1
S,RS,2018,2,5
N,DF,2018,3,11
S,BA,2018,3,56
S,MA,2018,3,6
S,RO,2018,3,5
N,,1984,4,2
N,RS,2014,6,3
N,PB,2011,7,2
N,SP,1983,3,3
N,MG,2018,4,235
N,AP,2018,4,21
N,BA,2018,4,220
N,RO,2005,12,1
S,PI,2018,4,6
N,,2002,7,7
N,,1983,3,5
N,SP,2018,11,4661
N,SP,1997,10,3
S,CE,2016,12,1
N,,1981,7,3
N,PR,2004,9,1
S,SP,2000,1,1
N,,2000,2,5
N,PA,2018,5,695
N,RO,2018,5,130
N,,2008,4,5
N,RO,2008,8,2
N,PA,2018,6,612
N,MT,2019,4,248
N,SP,1957,5,1
S,MT,2018,5,13
N,SP,1982,9,1
N,PI,1998,5,2
S,PR,2018,6,26
N,SP,1976,6,1
N,CE,2008,1,1
N,SE,2018,7,157
N,GO,2006,6,1
N,PR,2011,5,2
N,CE,2018,7,471
N,AC,2018,7,56
N,PI,2018,7,190
S,BA,2018,7,48
S,PR,2018,7,27
N,CE,2016,10,5
N,SP,1999,11,3
S,RS,2018,7,15
S,RJ,,,1500
N,PI,2018,11,236
N,GO,2013,9,1
S,MG,2018,8,15
N,SC,2018,8,211
S,GO,2018,8,25
N,SC,2019,9,351
N,BA,2019,4,345
S,CE,2018,8,62
N,MG,2019,6,1215
N,MA,1992,10,1
N,MA,1995,12,1
N,CE,2008,8,2
S,MG,2018,9,29
N,PI,2013,3,1
N,TO,2018,9,44
S,AC,2018,9,5
N,,1972,3,1
N,SE,2019,7,154
N,BA,2018,10,329
N,SE,2019,1,239
S,,2018,10,186
N,AL,2018,10,83
N,BA,2007,11,1
N,AC,2018,10,88
S,PE,2018,10,5
S,SC,2018,10,18
N,SP,2008,10,1
N,TO,2018,10,52
N,PI,1982,3,1
N,PR,1993,10,1
N,PE,2018,11,172
N,BA,2014,10,1
N,MA,2009,10,1
N,MG,1966,8,1
N,PR,2007,2,1
N,PB,2015,8,1
N,PB,2012,2,3
N,,2018,12,3302
N,CE,2012,2,3
N,AL,2018,12,91
S,AC,2018,12,14
N,MT,2018,12,157
N,RO,2018,12,192
N,AP,1977,3,1
N,PB,2007,5,1
N,CE,2009,4,1
N,PB,2012,12,1
N,RS,2015,1,6
N,,1986,6,4
N,PR,1993,6,1
N,SP,2001,1,1
N,GO,1990,10,1
N,PE,2009,1,1
N,,1984,8,1
N,MA,1997,5,1
N,,1960,10,1
N,SE,2019,2,163
N,RO,2019,2,95
S,SC,2019,2,19
N,GO,1990,2,1
S,AC,2019,2,3
N,RS,2014,5,7
N,RS,1995,2,1
N,MG,2019,3,349
N,MG,1978,3,1
S,,2019,3,160
S,SP,2019,3,142
N,PE,2019,3,165
S,GO,2019,3,24
S,MG,2019,3,17
N,PB,1997,4,1
N,MT,2011,4,1
N,MT,2010,5,1
N,DF,2019,3,4
N,CE,1990,12,2
N,SE,2019,4,199
N,PE,2019,4,134
N,PR,2019,10,811
N,CE,1994,3,2
S,CE,2019,4,76
N,RS,2013,11,2
N,BA,2014,8,2
N,PR,2007,6,1
N,RS,2011,3,1
N,SP,1994,8,1
N,SE,2019,6,248
N,CE,1997,2,1
N,PB,2019,6,219
N,,1987,11,1
S,SC,2019,6,26
S,PI,2019,6,23
S,RS,2019,6,54
N,MA,2019,6,211
N,SP,2000,4,1
S,AL,1994,7,1
N,MG,1991,8,1
S,MG,2019,7,121
N,MT,2019,7,240
S,BA,2019,7,33
S,RS,2019,7,55
N,PI,1993,9,1
N,PI,2006,10,1
N,CE,2013,10,1
N,GO,1996,4,1
N,PB,2010,1,1
N,PB,2010,3,1
N,MA,2019,8,286
N,PE,2019,8,128
S,RO,2019,8,6
N,SP,1992,10,1
N,SC,1991,7,1
N,SP,1974,7,1
N,SP,2000,5,2
N,DF,2019,8,36
S,PB,2019,8,4
S,MG,2019,9,138
N,AL,2019,9,82
S,TO,2019,5,5
N,GO,2011,11,1
N,MA,2005,5,1
N,SP,2014,5,2
N,CE,2015,5,4
N,,2001,5,5
S,AM,2019,5,1
N,GO,2014,7,1
I,MG,,,9
I,MT,2019,9,1
I,CE,2019,8,2
I,PA,2019,9,5
